"ID_UNIDADE_OPERACIONAL","NM_UNIDADE_OPERACIONAL","ID_ENTIDADE","DS_COMPLEMENTO","CD_OPERACIONAL","ID_UNIDADE_OPERACIONAL_PAI","FL_CRIACAO_BO","FL_CRIACAO_BOF","FL_CRIACAO_BOI","FL_CRIACAO_IP","FL_TREINAMENTO","ID_PONTO_REFERENCIA"
4324,POLICIA CIVIL DO ESTADO DO RIO GRANDE DO NORTE,61,,PCRN,,N,N,N,N,N,
4325,POLICIA CIVIL DO ESTADO DO RIO GRANDE DO SUL,63,,PCRS,,N,N,N,N,N,
4326,POLICIA CIVIL DO ESTADO DO RORAIMA,67,,PCRR,,N,N,N,N,N,
4327,POLICIA CIVIL DO ESTADO DE SANTA CATARINA,69,,PCSC,,N,N,N,N,N,
4328,POLICIA CIVIL DO ESTADO DE SERGIPE,73,,PCSE,,N,N,N,N,N,
4330,POLICIA CIVIL DO ESTADO DE SÃO PAULO,71,,PCSP,,N,N,N,N,N,
4331,POLICIA MILITAR DO ESTADO DE RONDONIA,64,,PMRO,,N,N,N,N,N,
4332,POLICIA MILITAR DO ESTADO DO ACRE,24,,PMAC,,N,N,N,N,N,
4333,POLICIA MILITAR DO ESTADO DE ALAGOAS,26,,PMAL,,N,N,N,N,N,
4334,POLICIA MILITAR DO ESTADO DO AMAPA,28,,PMAP,,N,N,N,N,N,
4335,POLICIA MILITAR DO ESTADO DO  AMAZONAS,30,,PMAM,,N,N,N,N,N,
4340,POLICIA MILITAR DO ESTADO DE GOIAS,40,,PMGO,,N,N,N,N,N,
4341,POLICIA MILITAR DO ESTADO DO MARANHÃO,42,,PMMA,,N,N,N,N,N,
4342,POLICIA MILITAR DO ESTADO DO MATO GROSSO,44,,PMMT,,N,N,N,N,N,
4359,DIVISÃO DE INVESTIGAÇÃO E APURAÇÃO DO TJPE,4,,DIVISÃO DE INVESTIGAÇÃO E APURAÇÃO DO TJPE,,S,S,N,N,N,
4159,DENARC - 9ª DELEGACIA DE POLICIA DE REPRESSÃO AO NARCOTRÁFICO - 9ªDPRN,1,,"9ªDPRN",4122,S,N,N,N,N,
4160,DENARC - 10ª DELEGACIA DE POLICIA DE REPRESSÃO AO NARCOTRÁFICO - 10ªDPRN,1,,"10ªDPRN",4122,S,N,N,N,N,
4161,DENARC - 11ª DELEGACIA DE POLICIA DE REPRESSÃO AO NARCOTRÁFICO - 11ªDPRN,1,,"11ªDPRN",4122,S,N,N,N,N,
4162,DENARC - 12ª DELEGACIA DE POLICIA DE REPRESSÃO AO NARCOTRÁFICO - 12ªDPRN,1,,"12ªDPRN",4122,S,N,N,N,N,
4170,DRACO - 1ª DELEGACIA DE COMBATE A CORRUPÇÃO -1ª DECCOR,1,,"1ª DECCOR",4172,S,N,N,N,N,
4171,DRACO - 2ª DELEGACIA DE COMBATE A CORRUPÇÃO - 2ª DECCOR ,1,,"2ª DECCOR ",4172,S,N,N,N,N,
4174,CIDADÃO (POPULAR),19,,POPULAR,,N,N,N,N,N,
4175,DIRETORIA DE ARTICULAÇÃO SOCIAL E DIREITOS HUMANOS - PM,2,,DASDH,,N,S,N,N,N,
4176,DASDH - DIRETORIA DE ARTICULAÇÃO SOCIAL E DIREITOS HUMANOS,2,,DASDH,4175,N,S,N,N,N,
4178,COMANDO DE OPERAÇÕES E RECURSOS ESPECIAIS,1,,CORE,,N,N,N,N,N,
4179,DRACO - 3ª DELEGACIA DE COMBATE A CORRUPÇÃO - 3ª DECCOR ,1,,"3ª DECCOR",4172,S,N,N,N,N,
4190,UOP PRF - RAJADA,15,,UOPPRF,,N,N,N,N,N,
4204,CASE PIRAPAMA,76,,CASE PIRAPAMA,,N,N,N,N,N,
4205,CASE JABOATÃO DOS GUARARAPES,76,,CASE JABOATÃO DOS GUARARAPES,,N,N,N,N,N,
4206,CASE SANTA LUZIA,76,,CASE SANTA LUZIA,,N,N,N,N,N,
4207,CASE TIMBAÚBA,76,,CASE TIMBAÚBA,,N,N,N,N,N,
4208,CASE VITÓRIA DE SANTO ANTÃO,76,,CASE VITÓRIA DE SANTO ANTÃO,,N,N,N,N,N,
4209,CASE CARUARU,76,,CASE CARUARU,,N,N,N,N,N,
4210,CASE PETROLINA,76,,CASE PETROLINA,,N,N,N,N,N,
4211,CASE/CENIP GARANHUNS,76,,CASE/CENIP GARANHUNS,,N,N,N,N,N,
4212,CASE/CENIP ARCOVERDE,76,,CASE/CENIP ARCOVERDE,,N,N,N,N,N,
4213,CASEM SANTA LUZIA,76,,CASEM SANTA LUZIA,,N,N,N,N,N,
4214,CASEM ROSARINHO,76,,CASEM ROSARINHO,,N,N,N,N,N,
4215,CASEM OLINDA,76,,CASEM OLINDA,,N,N,N,N,N,
4216,CASEM CASA AMARELA,76,,CASEM CASA AMARELA,,N,N,N,N,N,
4217,CASEM AREIAS,76,,CASEM AREIAS,,N,N,N,N,N,
4218,CASEM CARUARU,76,,CASEM CARUARU,,N,N,N,N,N,
4238,PRESÍDIO DE VITÓRIA DE SANTO ANTÃO - PVSA,16,,PVSA,,N,N,N,N,N,
4239,PRESÍDIO DESEMBARGADOR AUGUSTO DUQUE - PDAD,16,,PDAD,,N,N,N,N,N,
4243,PENITENCIÁRIA DE TACAIMBO - PTAC,16,,PTAC,,N,N,N,N,N,
4245,CADEIA PÚBLICA DE AFOGADOS DA INGAZEIRA,16,,CP - AFOGADOS DA INGAZEIRA,,N,N,N,N,N,
4246,CADEIA PÚBLICA DE AFRÂNIO,16,,CP - AFRÂNIO,,N,N,N,N,N,
4249,CADEIA PÚBLICA DE ALTINHO,16,,CP - ALTINHO,,N,N,N,N,N,
4250,CADEIA PÚBLICA DE ARARIPINA,16,,CP - ARARIPINA,,N,N,N,N,N,
4251,CADEIA PÚBLICA DE BARREIROS,16,,CP - BARREIROS,,N,N,N,N,N,
4252,CADEIA PÚBLICA DE BELÉM DO SÃO FRANCISCO,16,,CP - BELÉM DO SÃO FRANCISCO,,N,N,N,N,N,
4253,CADEIA PÚBLICA DE BEZERROS,16,,CP - BEZERROS,,N,N,N,N,N,
4254,CADEIA PÚBLICA DE BOM CONSELHO,16,,CP - BOM CONSELHO,,N,N,N,N,N,
4255,CADEIA PÚBLICA DE CABROBÓ,16,,CP - CABROBÓ,,N,N,N,N,N,
4256,CADEIA PÚBLICA DE CACHOEIRINHA,16,,CP - CACHOEIRINHA,,N,N,N,N,N,
4257,CADEIA PÚBLICA DE CAMOCIM DE SÃO FÉLIX,16,,CP - CAMOCIM DE SÃO FÉLIX,,N,N,N,N,N,
4263,CADEIA PÚBLICA DE EXU,16,,CP - EXU,,N,N,N,N,N,
4336,POLICIA MILITAR DO ESTADO DA BAHIA,32,,PMBA,,N,N,N,N,N,
4337,POLICIA MILITAR DO ESTADO DO CEARA,34,,PMCE,,N,N,N,N,N,
